name,refcount
bundler,1726
ruby-asciidoctor,1726
ruby-gettext,1726
racc,1734
rdtool,1734
ruby-locale,1726
ruby-test-unit-notify,1726
ruby-test-unit-rr,1726
ruby-rr,1726
ruby-text,1729
ruby-rack,1726
ruby-bacon,1729
ruby-concurrent,1726
ruby-timecop,1726
ruby-activesupport,1733
ruby-tzinfo,1726
ruby-dalli,1726
memcached,1735
adduser,1738
libio-socket-ssl-perl <!nocheck>,1736
ruby-connection-pool,1730
ruby-prof,1727
ruby-rails,1731
ruby-simplecov,1726
ruby-docile,1727
ruby-simplecov-html,1726
libjs-highlight.js,1780
libjs-jquery-fancybox,1726
libjs-jquery-ui,1736
ruby-sprockets,1726
ruby-ejs,1726
ruby-execjs,1726
libjs-coffeescript,1726
nodejs,1726
gcc-11,1728
g++-multilib [amd64 i386 kfreebsd-amd64 mips mips64 mips64el mips64r6 mips64r6el mipsel mipsn32 mipsn32el mipsn32r6 mipsn32r6el mipsr6 mipsr6el powerpc ppc64 s390 s390x sparc sparc64 x32] <!cross>,1733
libc6.1-dev,1733
libc6-dev-amd64 [i386 x32],1733
libc6-dev-sparc64 [sparc],1734
libc6-dev-sparc [sparc64],1733
libc6-dev-s390 [s390x],1733
libc6-dev-s390x [s390],1734
libc6-dev-i386 [amd64 x32],1734
libc6-dev-powerpc [ppc64],1733
libc6-dev-ppc64 [powerpc],1733
libc0.1-dev-i386 [kfreebsd-amd64],1733
lib32gcc-s1 [amd64 ppc64 kfreebsd-amd64 mipsn32 mipsn32el mips64 mips64el mipsn32r6 mipsn32r6el mips64r6 mips64r6el s390x sparc64 x32],1733
libn32gcc-s1 [mips mipsel mips64 mips64el mipsr6 mipsr6el mips64r6 mips64r6el],1733
lib64gcc-s1 [i386 mips mipsel mipsn32 mipsn32el mipsr6 mipsr6el mipsn32r6 mipsn32r6el powerpc sparc s390 x32],1733
libc6-dev-mips64 [mips mipsel mipsn32 mipsn32el mipsr6 mipsr6el mipsn32r6 mipsn32r6el],1733
libc6-dev-mipsn32 [mips mipsel mips64 mips64el mipsr6 mipsr6el mips64r6 mips64r6el],1733
libc6-dev-mips32 [mipsn32 mipsn32el mips64 mips64el mipsn32r6 mipsn32r6el mips64r6 mips64r6el],1733
libc6-dev-x32 [amd64 i386],1733
libx32gcc-s1 [amd64 i386],1733
libc6.1-dbg [alpha ia64],1733
kfreebsd-kernel-headers (>= 0.84) [kfreebsd-any],1733
linux-libc-dev [m68k],1733
autoconf2.69,1759
gcc-12-base,1733
dwz,1783
libelf-dev,1851
dejagnu <!nocheck>,1791
